loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
3,11 Com b,11 Com,1,Radial Velocity,2007,323.21000000,1.178000,,,,G8 III,4874.00,13.76,2.09,1.978,93.1846000
4,11 UMi b,11 UMi,1,Radial Velocity,2009,516.21997000,1.530000,,,,,4213.00,29.79,2.78,,125.3210000
7,14 And b,14 And,1,Radial Velocity,2008,186.76000000,0.775000,,,,K0 III,4888.00,11.55,1.78,1.840,75.4392000
12,14 Her b,14 Her,1,Radial Velocity,2002,1765.03890000,2.774000,,8.05300,,,,,0.91,,17.9323000
23,16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,798.50000000,1.660000,,,,,5750.00,1.13,1.08,,21.1397000
24,17 Sco b,17 Sco,1,Radial Velocity,2020,578.38000000,1.450000,,,,K3 III,4157.00,25.92,1.22,2.254,124.9530000
26,18 Del b,18 Del,1,Radial Velocity,2008,982.85000000,2.476000,,,,G6 III,4980.00,8.80,2.10,1.634,76.2220000
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,,330.000000,,8.00000,1700,K7 V,4060.00,,0.85,-0.370,139.1350000
32,24 Boo b,24 Boo,1,Radial Velocity,2018,30.33000000,0.194000,,,,G3 IV,4816.00,12.19,1.05,1.877,95.9863000
34,24 Sex b,24 Sex,1,Radial Velocity,2010,452.80000000,1.333000,,,,,5098.00,4.90,1.54,1.164,72.0691000
35,24 Sex c,24 Sex,1,Radial Velocity,2010,883.00000000,2.080000,,,,,5098.00,4.90,1.54,1.164,72.0691000
36,2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,,118.000000,,4.00000,1450,M V,3100.00,0.84,0.17,-1.164,128.4840000
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,,84.000000,,13.00000,,M5.5/M6,,,0.19,,
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,,52.000000,,24.50000,,M3.5 V,3530.00,,0.40,-1.720,33.8281000
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,,156.000000,1.440,13.90000,,M6,3064.00,0.28,0.11,-2.230,
41,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,,15.000000,,7.50000,,M8.5,,,0.02,,
42,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,,55.000000,,5.00000,1250,M8,,,0.02,,64.3080000
44,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Eclipse Timing Variations,2015,406.00000000,,,,,,29564.00,0.20,0.48,,396.3320000
46,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,,230.000000,,12.50000,,K7 V,4045.00,,0.60,,69.5737000
49,30 Ari B b,30 Ari B,1,Radial Velocity,2009,335.10001000,0.990000,,,,,6331.00,1.41,1.93,,44.6570000
50,4 UMa b,4 UMa,1,Radial Velocity,2006,270.27000000,0.877000,,,,K1 III,4415.00,18.11,1.23,,73.4603000
52,42 Dra b,42 Dra,1,Radial Velocity,2008,479.10000000,1.190000,,,,K1.5 III,4200.00,22.03,0.98,,90.6545000
54,47 UMa b,47 UMa,1,Radial Velocity,1996,1078.00000000,2.100000,,,,,5872.00,1.21,1.06,0.198,13.7967000
58,47 UMa c,47 UMa,1,Radial Velocity,2001,2391.00000000,3.600000,,,,,5872.00,1.21,1.06,0.198,13.7967000
61,47 UMa d,47 UMa,1,Radial Velocity,2009,14002.00000000,11.600000,,,,,5872.00,1.21,1.06,0.198,13.7967000
65,51 Eri b,51 Eri,1,Imaging,2015,,13.200000,,2.00000,700,F0 IV,,,1.75,0.850,29.7575000
70,51 Peg b,51 Peg,1,Radial Velocity,1995,4.23078500,0.052700,,,,,5758.00,1.18,1.03,0.136,15.4614000
77,55 Cnc b,55 Cnc,1,Radial Velocity,1996,14.65160000,0.113400,,,,,5172.00,0.94,0.91,,12.5855000
87,55 Cnc c,55 Cnc,1,Radial Velocity,2004,44.39890000,0.237300,,,,,5172.00,0.94,0.91,,12.5855000
99,55 Cnc d,55 Cnc,1,Radial Velocity,2002,5574.20000000,5.957000,,,,,5172.00,0.94,0.91,,12.5855000
116,55 Cnc e,55 Cnc,1,Radial Velocity,2004,0.73654740,0.015440,0.167,0.02514,,,5172.00,0.94,0.91,,12.5855000
121,55 Cnc f,55 Cnc,1,Radial Velocity,2007,259.88000000,0.770800,,,,,5172.00,0.94,0.91,,12.5855000
127,6 Lyn b,6 Lyn,1,Radial Velocity,2008,919.86000000,2.028000,,,,K0 IV,4941.00,4.94,1.32,1.119,54.6599000
130,61 Vir b,61 Vir,1,Radial Velocity,2009,4.21500000,0.050201,,,,G5 V,5577.00,0.96,0.94,-0.095,8.5033200
132,61 Vir c,61 Vir,1,Radial Velocity,2009,38.02100000,0.217500,,,,G5 V,5577.00,0.96,0.94,-0.095,8.5033200
133,61 Vir d,61 Vir,1,Radial Velocity,2009,123.01000000,0.476000,,,,G5 V,5577.00,0.96,0.94,-0.095,8.5033200
136,7 CMa b,7 CMa,1,Radial Velocity,2011,735.10000000,1.758000,,,,,4826.00,4.87,1.34,1.063,19.8101000
137,7 CMa c,7 CMa,1,Radial Velocity,2019,996.00000000,2.153000,,,,,4826.00,4.87,1.34,1.063,19.8101000
141,70 Vir b,70 Vir,1,Radial Velocity,1996,116.68800000,0.481000,,,,,5495.00,1.89,1.09,,17.9011000
145,75 Cet b,75 Cet,1,Radial Velocity,2012,696.62000000,1.912000,,,,G3 III,4809.00,10.38,1.92,1.714,82.9613000
146,75 Cet c,75 Cet,1,Radial Velocity,2023,2051.62000000,3.929000,,,,G3 III,4809.00,10.38,1.92,1.714,82.9613000
147,8 UMi b,8 UMi,1,Radial Velocity,2015,93.40000000,0.490000,,,,,4847.00,10.30,1.44,,162.5520000
151,81 Cet b,81 Cet,1,Radial Velocity,2008,1005.57000000,2.104000,,,,G5 III,4734.00,11.21,1.23,1.760,101.2600000
152,91 Aqr b,91 Aqr,1,Radial Velocity,2013,181.40000000,0.700000,,,,K0 III,4665.00,11.00,1.40,,44.0304000
153,AB Aur b,AB Aur,1,Imaging,2022,,93.900000,,9.00000,,,9770.00,,2.40,1.771,162.1270000
154,AB Pic b,AB Pic,1,Imaging,2005,,260.000000,,13.50000,,K2 V,,,,,50.0475000
156,AF Lep b,AF Lep,1,Imaging,2023,8030.00000000,8.400000,,3.20000,,F8 V,6130.00,1.25,1.20,,26.8564000
158,AU Mic b,AU Mic,1,Transit,2020,8.46299910,0.064500,,0.06330,,,,,0.50,,9.7221000
168,AU Mic c,AU Mic,1,Transit,2021,18.85899100,0.110100,,0.03020,,,,,0.50,,9.7221000
170,BD+03 2562 b,BD+03 2562,1,Radial Velocity,2017,481.90000000,1.300000,,,,,4095.00,32.35,1.14,2.700,1070.6300000
171,BD+14 4559 b,BD+14 4559,1,Radial Velocity,2009,268.94000000,0.780000,,,,,4864.00,0.86,0.49,,49.3520000
173,BD+15 2375 b,BD+15 2375,1,Radial Velocity,2016,153.22000000,0.576000,,,,,4649.00,8.95,1.08,1.570,768.0450000
174,BD+15 2940 b,BD+15 2940,1,Radial Velocity,2013,137.48000000,0.539000,,,,K0,4796.00,14.70,1.10,2.010,426.4200000
175,BD+20 2457 b,BD+20 2457,1,Radial Velocity,2009,379.63000000,1.450000,,,,K2 II,4137.00,49.00,2.80,3.170,1539.7100000
177,BD+20 2457 c,BD+20 2457,1,Radial Velocity,2009,621.99000000,2.010000,,,,K2 II,4137.00,49.00,2.80,3.170,1539.7100000
178,BD+20 274 b,BD+20 274,1,Radial Velocity,2012,578.20000000,1.300000,,,,K5 III,4296.00,17.30,0.80,1.960,1322.5100000
181,BD+20 594 b,BD+20 594,1,Transit,2016,41.68550000,,0.230,0.07000,,,5766.00,1.08,1.67,,179.4610000
182,BD+45 564 b,BD+45 564,1,Radial Velocity,2021,307.88000000,0.830000,,,,K1,5004.00,,0.81,,53.6220000
183,BD+48 738 b,BD+48 738,1,Radial Velocity,2011,392.60000000,1.000000,,,,K0 III,4414.00,11.00,0.74,1.690,871.4930000
184,BD+48 740 b,BD+48 740,1,Radial Velocity,2018,733.00000000,1.700000,,,,,4534.00,10.33,1.09,1.640,666.5890000
185,BD+49 828 b,BD+49 828,1,Radial Velocity,2015,2590.00000000,4.200000,,,,K0,4943.00,7.60,1.52,1.470,442.0420000
186,BD+55 362 b,BD+55 362,1,Radial Velocity,2021,265.59000000,0.780000,,,,K3,5012.00,,0.91,,52.5697000
187,BD+60 1417 b,BD+60 1417,1,Imaging,2021,,1662.000000,1.310,15.00000,1303,K0,4993.00,0.80,1.00,0.356,44.9543000
188,BD+63 1405 b,BD+63 1405,1,Radial Velocity,2021,1198.48000000,2.060000,,,,K0,5000.00,,0.82,,38.0473000
190,BD-00 4475 b,BD-00 4475,1,Radial Velocity,2021,723.20000000,1.480000,,,,G0,5040.00,,0.81,,42.6402000
191,BD-06 1339 b,BD-06 1339,1,Radial Velocity,2013,3.87280000,0.042800,,,,K7/M0 V,4324.00,,0.70,-1.022,20.2695000
192,BD-06 1339 c,BD-06 1339,1,Radial Velocity,2013,125.94000000,0.435000,,,,K7/M0 V,4324.00,,0.70,-1.022,20.2695000
193,BD-08 2823 b,BD-08 2823,1,Radial Velocity,2009,5.60000000,0.060000,,,,,4816.00,0.71,0.50,,41.3342000
195,BD-08 2823 c,BD-08 2823,1,Radial Velocity,2009,237.60000000,0.680000,,,,K3 V,4746.00,,0.74,,41.3342000
197,BD-10 3166 b,BD-10 3166,1,Radial Velocity,2000,3.48777000,0.040000,,,,,5393.00,0.91,1.47,,84.4069000
200,BD-11 4672 b,BD-11 4672,1,Radial Velocity,2014,1634.00000000,2.360000,,,,,4550.00,0.64,0.65,-0.804,27.1665000
202,BD-11 4672 c,BD-11 4672,1,Radial Velocity,2020,74.20000000,0.300000,,,,,4550.00,0.64,0.65,-0.804,27.1665000
204,BD-13 2130 b,BD-13 2130,1,Radial Velocity,2007,714.29999000,1.660000,,,,,4545.00,19.17,2.12,,925.2140000
205,BD-17 63 b,BD-17 63,1,Radial Velocity,2008,655.60000000,1.340000,,,,K5 V,4714.00,0.69,0.74,-0.678,34.4603000
207,BD-210397 b,BD-210397,1,Radial Velocity,2023,1891.00000000,2.630000,,,,K7 V,4051.00,0.75,0.68,-0.870,23.7324000
208,BD-210397 c,BD-210397,1,Radial Velocity,2023,6240.00000000,5.900000,,4.80000,,K7 V,,,0.69,,23.7324000
210,CD Cet b,CD Cet,1,Radial Velocity,2020,2.29070000,0.018500,,,464,M5.0 V,3130.00,0.17,0.16,-2.533,8.6071500
211,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,2011,10037.50000000,2.600000,,10.50000,370,,580.50,,0.02,,
212,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2021,8040000.00000000,200.000000,1.860,7.80000,1800,M9-L1,2320.00,0.24,0.01,-2.850,
213,CHXR 73 b,CHXR 73,1,Imaging,2006,,210.000000,,12.56900,,M3.5,,,0.35,,190.3740000
214,CI Tau b,CI Tau,1,Radial Velocity,2019,8.98910000,,,11.60000,,K7,,,0.90,-0.108,157.9980000
215,COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021,402000000.00000000,7506.000000,1.110,6.30000,434,M3 V,3406.00,0.39,0.37,-1.732,10.8864000
216,CT Cha b,CT Cha,1,Imaging,2007,,440.000000,2.200,17.00000,2600,,,,,,190.7200000
220,CoRoT-1 b,CoRoT-1,1,Transit,2008,1.50895570,,1.490,1.03000,1898,G0 V,5950.00,1.11,0.95,,787.9090000
225,CoRoT-10 b,CoRoT-10,1,Transit,2010,13.24060000,0.105500,0.970,2.75000,600,K1 V,5075.00,0.79,0.89,,338.3860000
231,CoRoT-11 b,CoRoT-11,1,Transit,2010,2.99433000,0.043600,1.430,2.33000,1657,F6 V,6440.00,1.37,1.27,,655.0370000
233,CoRoT-12 b,CoRoT-12,1,Transit,2010,2.82804200,0.040160,1.440,0.91700,1442,,5675.00,1.12,1.08,,1126.3700000
240,CoRoT-13 b,CoRoT-13,1,Transit,2010,4.03519000,0.051000,0.885,1.30800,1700,G0 V,5945.00,1.01,1.09,,1148.9300000
243,CoRoT-14 b,CoRoT-14,1,Transit,2010,1.51214000,0.027000,1.090,7.60000,1952,F9 V,6035.00,1.21,1.13,,1744.6000000
247,CoRoT-16 b,CoRoT-16,1,Transit,2011,5.35227000,0.061800,1.170,0.53500,,G5 V,5650.00,1.19,1.10,,732.4090000
248,CoRoT-17 b,CoRoT-17,1,Transit,2011,3.76810000,0.046100,1.020,2.43000,1626,G2 V,5740.00,1.59,1.04,,1176.1200000
256,CoRoT-18 b,CoRoT-18,1,Transit,2011,1.90006930,0.029500,1.310,3.47000,1550,G9 V,5440.00,1.00,0.95,,764.8890000
260,CoRoT-19 b,CoRoT-19,1,Transit,2011,3.89713000,0.051800,1.290,1.11000,2000,F9 V,6090.00,1.65,1.21,0.544,790.6630000
265,CoRoT-2 b,CoRoT-2,1,Transit,2008,1.74299350,0.027980,1.466,3.47000,,,5625.00,0.91,0.96,,213.2830000
277,CoRoT-20 b,CoRoT-20,1,Transit,2011,9.24285000,0.090000,,4.30000,,,,,1.14,,844.0610000
279,CoRoT-20 c,CoRoT-20,1,Radial Velocity,2018,1675.00000000,2.900000,,,,,,,1.14,,844.0610000
281,CoRoT-21 b,CoRoT-21,1,Transit,2012,2.72474000,0.041700,1.300,2.26000,,F8 IV,6200.00,1.95,1.29,,
282,CoRoT-22 b,CoRoT-22,1,Transit,2014,9.75598000,0.092000,0.435,0.03800,885,G3 V,5939.00,1.14,1.10,,627.1580000
285,CoRoT-23 b,CoRoT-23,1,Transit,2011,3.63130000,0.048000,1.050,2.80000,1660,G0 V,5900.00,1.61,1.14,,1060.9700000
286,CoRoT-24 b,CoRoT-24,1,Transit,2014,5.11340000,0.056000,0.330,0.01800,1070,K1 V,4950.00,0.86,0.91,,591.5550000
287,CoRoT-24 c,CoRoT-24,1,Transit,2014,11.75900000,0.098000,0.440,0.08800,850,K1 V,4950.00,0.86,0.91,,591.5550000
289,CoRoT-25 b,CoRoT-25,1,Transit,2013,4.86069000,0.057800,1.080,0.27000,1330,F9,6040.00,1.19,1.09,,1103.4800000
291,CoRoT-26 b,CoRoT-26,1,Transit,2013,4.20474000,0.052600,1.260,0.52000,1600,G5,5590.00,1.79,1.09,,1045.1800000
293,CoRoT-27 b,CoRoT-27,1,Transit,2014,3.57532000,0.047600,1.007,10.39000,1500,G2,5900.00,1.08,1.05,,1010.2800000
294,CoRoT-28 b,CoRoT-28,1,Transit,2015,5.20851000,0.060300,0.955,0.48400,,G8/9 IV,5150.00,1.78,1.01,,766.1830000
298,CoRoT-29 b,CoRoT-29,1,Transit,2015,2.85057000,0.038600,0.900,0.85000,,K0 V,5260.00,0.90,0.97,,806.5070000
302,CoRoT-3 b,CoRoT-3,1,Transit,2008,4.25680000,,1.010,21.66000,,F3 V,6740.00,1.56,1.37,,768.7710000
304,CoRoT-30 b,CoRoT-30,1,Transit,2020,9.06005000,0.084400,1.009,2.90000,,G3 V,5650.00,0.91,0.98,,1032.2300000
305,CoRoT-31 b,CoRoT-31,1,Transit,2020,4.62941000,0.058600,1.460,0.84000,,G2 IV,5700.00,2.15,1.25,,2005.7600000
306,CoRoT-35 b,CoRoT-35,1,Transit,2022,3.22748000,0.042900,1.680,1.10000,1747,F6 V,6390.00,1.65,1.01,,1123.2100000
307,CoRoT-36 b,CoRoT-36,1,Transit,2022,5.61653100,0.066000,1.410,0.68000,1567,F3 V,6730.00,1.52,1.32,,925.9580000
308,CoRoT-4 b,CoRoT-4,1,Transit,2008,9.20205000,0.090000,1.190,0.72000,1074,,6190.00,1.17,1.16,,726.4120000
313,CoRoT-5 b,CoRoT-5,1,Transit,2009,4.03789620,0.049470,1.388,0.46700,1438,F9 V,6100.00,1.19,1.00,,882.4720000
320,CoRoT-6 b,CoRoT-6,1,Transit,2009,8.88659300,0.085500,1.166,2.96000,1017,F9 V,6090.00,1.02,1.05,,645.2940000
322,CoRoT-7 b,CoRoT-7,1,Transit,2009,0.85359163,,0.150,0.01283,,,5275.00,0.83,0.82,,159.9060000
331,CoRoT-7 c,CoRoT-7,1,Radial Velocity,2009,3.69800000,0.046000,,0.02643,,,5256.00,0.86,0.90,-0.289,159.9060000
333,CoRoT-7 d,CoRoT-7,1,Radial Velocity,2022,8.96600000,,,0.05393,,G9 V,5250.00,,0.92,,159.9060000
335,CoRoT-8 b,CoRoT-8,1,Transit,2010,6.21229000,0.063000,0.570,0.22000,,K1 V,5080.00,0.77,0.88,,322.0370000
342,CoRoT-9 b,CoRoT-9,1,Transit,2009,95.27265600,0.402100,1.066,0.84000,420,,5625.00,0.96,0.96,,412.9800000
344,CoRoTID 223977153 b,CoRoTID 223977153,1,Transit,2017,6.71837000,0.071000,0.570,0.15000,938,G0 VI,5970.00,0.79,1.08,-0.155,576.6830000
345,DE CVn b,DE CVn,1,Eclipse Timing Variations,2018,4098.10000000,5.750000,,,,,,,0.51,,30.5225000
346,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,Astrometry,2013,246.36000000,0.360000,,28.50000,,L1.5,,,0.07,,
347,DH Tau b,DH Tau,1,Imaging,2004,,330.000000,,11.00000,,M0.5,,0.27,0.33,,134.8460000
349,DMPP-1 b,DMPP-1,1,Radial Velocity,2019,18.57000000,0.146200,,,877,F8 V,6196.00,1.26,1.21,,62.5388000
350,DMPP-1 c,DMPP-1,1,Radial Velocity,2019,6.58400000,0.073300,,,1239,F8 V,6196.00,1.26,1.21,,62.5388000
351,DMPP-1 d,DMPP-1,1,Radial Velocity,2019,2.88200000,0.042200,,,1632,F8 V,6196.00,1.26,1.21,,62.5388000
352,DMPP-1 e,DMPP-1,1,Radial Velocity,2019,5.51600000,0.065100,,,1314,F8 V,6196.00,1.26,1.21,,62.5388000
353,DMPP-2 b,DMPP-2,1,Radial Velocity,2019,5.20720000,0.066400,,,1000,F5 V,6500.00,1.78,1.44,0.104,137.9400000
354,DMPP-3 A b,DMPP-3 A,1,Radial Velocity,2019,6.67320000,0.066200,,,854,K0 V,5138.00,0.91,0.87,,45.2300000
356,DMPP-4 b,DMPP-4,1,Radial Velocity,2023,3.49820000,0.048530,,,,F5-F8 V,6400.00,1.38,1.25,0.459,25.3284000
358,DP Leo b,DP Leo,1,Eclipse Timing Variations,2009,10220.00000000,8.190000,,,,,,,0.69,,305.6840000
359,DS Tuc A b,DS Tuc A,1,Transit,2019,8.13826800,,0.509,,850,G6 V,5428.00,0.96,1.01,-0.140,44.0622000
362,EPIC 201170410.02,EPIC 201170410,1,Transit,2020,6.79870000,0.034900,0.093,,,,3648.00,0.28,0.29,,
363,EPIC 201238110 b,EPIC 201238110,1,Transit,2019,28.16560000,,0.167,,,,,,0.41,,159.2590000
365,EPIC 201427007 b,EPIC 201427007,1,Transit,2021,0.72091000,,0.134,,,,5633.00,0.94,,,706.3910000
366,EPIC 201497682 b,EPIC 201497682,1,Transit,2019,2.13174000,,0.062,,,,,,0.78,,253.0260000
368,EPIC 201595106 b,EPIC 201595106,1,Transit,2021,0.87721400,,0.116,,,,5820.00,0.93,,,232.1000000
370,EPIC 201615463 c,K2-166,1,Transit,2019,3.80464000,,0.109,,,,,,1.07,,476.8820000
371,EPIC 201754305 d,K2-16,1,Transit,2019,2.71578000,,0.092,,,,,,0.67,,334.9670000
372,EPIC 201757695.02,EPIC 201757695,1,Transit,2020,2.04780000,0.029600,0.081,,,,4520.00,0.66,0.73,-0.364,
374,EPIC 201833600 c,K2-50,1,Transit,2019,3.96151000,,0.089,,,,,,0.61,,257.4430000
376,EPIC 201841433 b,EPIC 201841433,1,Transit,2019,4.16980000,0.035000,0.093,,,,5053.00,0.63,0.80,,436.4880000
378,EPIC 205950854 c,K2-168,1,Transit,2019,8.05072200,,0.117,,961,,5502.70,0.83,0.88,,243.9350000
381,EPIC 206024342 b,EPIC 206024342,1,Transit,2019,4.50756000,,0.152,,,,,,0.93,,369.8880000
384,EPIC 206024342 c,EPIC 206024342,1,Transit,2021,0.91172400,,0.125,,,,5724.00,1.10,,,369.8880000
386,EPIC 206024342 d,EPIC 206024342,1,Transit,2021,14.64753100,,0.232,,,,5724.00,1.10,,,369.8880000
390,EPIC 206032309 b,EPIC 206032309,1,Transit,2019,2.87814000,,0.090,,,,,,0.22,,161.3650000
391,EPIC 206042996 b,EPIC 206042996,1,Transit,2019,5.29860000,,0.152,,,,4114.00,0.50,,,451.7690000
395,EPIC 206042996 c,EPIC 206042996,1,Transit,2021,0.35488400,,0.107,,,,4114.00,0.50,,,451.7690000
397,EPIC 206215704 b,EPIC 206215704,1,Transit,2019,2.25543600,,0.089,,,,3297.00,0.25,,,109.8880000
399,EPIC 206317286 b,EPIC 206317286,1,Transit,2019,1.58252000,,0.086,,,,,,0.71,,314.3500000
401,EPIC 206317286 c,EPIC 206317286,1,Transit,2022,17.51547200,,0.187,,,,4752.00,0.76,0.83,,314.3500000
409,EPIC 211822797 b,EPIC 211822797,1,Transit,2016,21.17019630,0.119500,0.171,,431,,4057.00,0.58,0.62,,186.1970000
411,EPIC 211945201 b,EPIC 211945201,1,Transit,2018,19.49221000,0.149300,0.514,,817,,6069.00,1.39,1.17,,181.6900000
420,EPIC 212297394 b,EPIC 212297394,1,Transit,2019,2.28936300,,0.132,,1149,,5171.00,0.80,0.83,,418.3950000
424,EPIC 212297394 c,EPIC 212297394,1,Transit,2016,5.21396500,,0.203,,866,,5171.00,0.80,0.83,,418.3950000
425,EPIC 212424622 b,EPIC 212424622,1,Transit,2019,18.09830000,,0.194,,,,,,1.11,,611.8040000
427,EPIC 212499991 b,EPIC 212499991,1,Transit,2019,34.88500000,,0.143,,,,,,0.91,,283.2900000
429,EPIC 212587672 b,EPIC 212587672,1,Transit,2019,15.28078000,,0.112,,756,,6004.00,0.98,0.99,,320.0700000
434,EPIC 212587672 c,EPIC 212587672,1,Transit,2016,23.22855500,,0.207,,658,,6004.00,0.98,0.99,,320.0700000
437,EPIC 212624936 b,EPIC 212624936,1,Transit,2021,0.57865700,,0.107,,,,5765.00,0.93,,,561.9290000
439,EPIC 212624936 c,EPIC 212624936,1,Transit,2021,11.81143700,,0.205,,,,5765.00,0.93,,,561.9290000
442,EPIC 212737443 b,EPIC 212737443,1,Transit,2019,13.60300000,0.098000,0.231,,536,K3,4684.00,0.67,0.69,,336.2500000
443,EPIC 212737443 c,EPIC 212737443,1,Transit,2019,65.55000000,0.280000,0.240,,316,K3,4684.00,0.67,0.69,,336.2500000
444,EPIC 220492298 b,EPIC 220492298,1,Transit,2021,0.76240600,,0.088,,,,5620.00,0.89,,,624.5120000
446,EPIC 220554210 c,K2-282,1,Transit,2019,0.70531000,,0.143,,,,5499.00,1.00,,,496.2890000
450,EPIC 220674823 b,EPIC 220674823,1,Transit,2016,0.57129200,0.013260,0.154,0.02583,2300,,5532.00,0.99,0.95,,244.5900000
459,EPIC 220674823 c,EPIC 220674823,1,Transit,2016,13.33970000,0.108300,0.253,0.02800,805,,5532.00,0.99,0.95,,244.5900000
468,EPIC 228836835 b,EPIC 228836835,1,Transit,2021,0.72811300,,0.098,,,,3782.00,0.32,,,150.1240000
469,EPIC 229004835 b,EPIC 229004835,1,Transit,2023,16.14113200,0.123700,0.208,0.03272,804,,5868.00,1.00,0.97,,121.9710000
473,EPIC 246851721 b,EPIC 246851721,1,Transit,2018,6.18023500,0.072290,1.051,3.00000,1401,F5 V,6202.00,1.59,1.32,0.526,372.6320000
474,EPIC 248847494 b,EPIC 248847494,1,Transit,2018,3650.00000000,4.500000,1.110,13.00000,183,,4898.00,2.70,0.90,,551.8860000
475,EPIC 249893012 b,EPIC 249893012,1,Transit,2020,3.59510000,0.047000,0.174,0.02753,1616,G8 IV/V,5430.00,1.71,1.05,,321.2960000
476,EPIC 249893012 c,EPIC 249893012,1,Transit,2020,15.62400000,0.130000,0.327,0.04616,990,G8 IV/V,5430.00,1.71,1.05,,321.2960000
477,EPIC 249893012 d,EPIC 249893012,1,Transit,2020,35.74700000,0.220000,0.352,0.03203,752,G8 IV/V,5430.00,1.71,1.05,,321.2960000
478,FU Tau b,FU Tau,1,Imaging,2008,,800.000000,,16.00000,2375,M7.25,2838.00,,0.05,-0.699,
479,G 264-012 b,G 264-012,1,Radial Velocity,2021,2.30538000,0.022790,,,587,M4.0 V,3326.00,0.30,0.30,-1.972,16.0090000
480,G 264-012 c,G 264-012,1,Radial Velocity,2021,8.05180000,0.052500,,,387,M4.0 V,3326.00,0.30,0.30,-1.972,16.0090000
482,G 9-40 b,G 9-40,1,Transit,2019,5.74600700,0.038500,0.181,0.03681,456,M2.5 V,3348.00,0.31,0.29,-1.971,27.9276000
484,GJ 1002 b,GJ 1002,1,Radial Velocity,2022,10.34650000,0.045700,,,231,M5.5 V,3024.00,0.14,0.12,-2.852,4.8486700
485,GJ 1002 c,GJ 1002,1,Radial Velocity,2022,21.20200000,0.073800,,,182,M5.5 V,3024.00,0.14,0.12,-2.852,4.8486700
486,GJ 1061 b,GJ 1061,1,Radial Velocity,2020,3.20400000,0.021000,,,,M5.5 V,2953.00,0.16,0.12,-2.770,3.6727800
487,GJ 1061 c,GJ 1061,1,Radial Velocity,2020,6.68900000,0.035000,,,,M5.5 V,2953.00,0.16,0.12,-2.770,3.6727800
488,GJ 1061 d,GJ 1061,1,Radial Velocity,2020,13.03100000,0.054000,,,,M5.5 V,2953.00,0.16,0.12,-2.770,3.6727800
491,GJ 1132 b,GJ 1132,1,Transit,2015,1.62893100,0.015300,0.101,0.00522,529,,3270.00,0.21,0.18,-2.359,12.6130000
494,GJ 1132 c,GJ 1132,1,Radial Velocity,2018,8.92900000,0.047600,,,300,,3270.00,0.21,0.18,-2.359,12.6130000
495,GJ 1148 b,GJ 1148,1,Radial Velocity,2010,41.38000000,0.166000,,,,,3287.00,0.36,0.34,-1.869,11.0143000
499,GJ 1148 c,GJ 1148,1,Radial Velocity,2017,532.58000000,0.912000,,,,,3287.00,0.36,0.34,-1.869,11.0143000
500,GJ 1151 c,GJ 1151,1,Radial Velocity,2023,389.70000000,0.571400,,,,M 4.5V,3280.00,0.18,0.16,-2.480,8.0362500
507,GJ 1214 b,GJ 1214,1,Transit,2009,1.58040433,0.014900,0.245,0.02571,596,M4 V,3250.00,0.21,0.18,-2.337,14.6427000
518,GJ 1252 b,GJ 1252,1,Transit,2020,0.51823310,,0.106,0.00415,,M3,3458.00,0.39,0.38,-1.708,20.3730000
522,GJ 1265 b,GJ 1265,1,Radial Velocity,2018,3.65110000,0.026000,,,,M4.5 V,3236.00,0.19,0.18,-2.439,10.2525000
523,GJ 143 b,GJ 143,1,Transit,2019,35.61253000,0.191500,0.233,0.07142,422,K4.5,4640.00,0.69,0.73,-0.686,16.3200000
526,GJ 15 A b,GJ 15 A,1,Radial Velocity,2014,11.44070000,0.072000,,,,M1,3607.00,0.38,0.38,-1.655,3.5622800
529,GJ 15 A c,GJ 15 A,1,Radial Velocity,2018,7600.00000000,5.400000,,,,M1,3607.00,0.38,0.38,-1.655,3.5622800
530,GJ 160.2 b,GJ 160.2,1,Radial Velocity,2014,5.23540000,0.053000,,,,M0 V,4347.00,,0.69,-0.796,25.8557000
531,GJ 163 b,GJ 163,1,Radial Velocity,2013,8.63182000,0.060700,,,,,,,,,15.1285000
532,GJ 163 c,GJ 163,1,Radial Velocity,2013,25.63058000,0.125400,,,,,,,,,15.1285000
533,GJ 163 d,GJ 163,1,Radial Velocity,2013,603.95116000,1.030400,,,,,,,,,15.1285000
